Facility_name,Million_gallons_per_day_flow,GHGI_emissions_mol_per_s,Moore_Emissions_mol_per_s,longitude,latitude,Source
Allamuchy Township MUA - CS/STP,0.6,0.009267588290886667,0.004997191930006617,-74.86088957,40.91141014,Clean Watershed Needs Survey
Allentown Borough - CS/STP,0.238,0.0036761433553850445,0.0015309645374807857,-74.59669003,40.17749943,Clean Watershed Needs Survey
"Amenia, (T) OWTS & Proposed WWTP",0.0,0.0,0.0,-73.5568,41.8493,Clean Watershed Needs Survey
Amherst Sewerage Collection System and WWTF,7.1,0.10966646144215889,0.1179298752244841,-72.537382,42.387696,Clean Watershed Needs Survey
Amsterdam (C) WWTP,5.5,0.08495289266646111,0.08506435085959785,-74.1665,42.921,Clean Watershed Needs Survey
Andes (T) Sewers & STP,0.062,0.0009576507900582889,0.0002738910101938942,-74.789506,42.170434,Clean Watershed Needs Survey
Andover (V) WWTP and Collection System,0.0,0.0,0.0,-77.7948867,42.15705382,Clean Watershed Needs Survey
Arcade (V) Collection System & WWTP,0.31,0.004788253950291445,0.0021469253073382794,-78.4568,42.5364,Clean Watershed Needs Survey
Arietta (T) Sewers and WWTP,0.0,0.0,0.0,-74.5526969,43.406772095,Clean Watershed Needs Survey
Arlington High School WWTF,0.018,0.00027802764872659997,5.628662623369063e-05,-73.153539,43.064404,Clean Watershed Needs Survey
Asbury Park City - CS/STP,4.4,0.06796231413316889,0.06393874675942784,-73.9978,40.228,Clean Watershed Needs Survey
Ashfield Sewerage Collection System and WWTF,0.025,0.0003861495121202778,8.568983652090762e-05,-72.7825,42.5244,Clean Watershed Needs Survey
Ashford (T) Sewer District 2 and STP,0.0,0.0,0.0,-78.61271,42.40681,Clean Watershed Needs Survey
